Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6",0805,3,100n/10V,
C2,0805,1,10u/10V,
C3,0805,1,1u/10V,
C5,0805,1,1n/10V,
"C7, C8",0805,2,10u/25V,
C9,0805,1,10u,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D2,D_SMA,1,D,
D3,0603,1,LED,
"D4, D5",0805,2,D_Zener,
J1,IDC-Header_2x03_P2.54mm_Vertical,1,Uart_con,
"J10, J11, J12, J13",TestPoint_Pad_D1.0mm,4,PAD,
J14,TestPoint_Pad_D1.5mm,1,+3V3_PAD,
J15,TestPoint_Pad_D1.5mm,1,+5V_PAD,
J16,PinSocket_1x08_P2.54mm_Vertical,1,FOUT_conn,
J17,SolderWire-2sqmm_1x01_D2mm_OD3.9mm,1,Ground,
J2,IDC-Header_2x05_P2.54mm_Vertical,1,Jtag_con,
J3,PinHeader_1x06_P2.54mm_Vertical,1,UART_ONYKS,
J4,Screw Terminal M4 8x8,1,I_SENS_IN,
J5,Screw Terminal M4 8x8,1,I_SENS_OUT,
J6,TerminalBlock_bornier-2_P5.08mm,1,MAIN_VOLTAGE_INPUT,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J8,TerminalBlock_bornier-3_P5.08mm,1,Screw_Terminal_01x03,
J9,PinHeader_1x03_P2.54mm_Vertical,1,UART2,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,IF_NOT_USED,
K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,SANYOU_SRD_Form_C,
Q1,SOT-23-3,1,SS8050,
Q2,SOT-23,1,SS8050,
Q3,SOT-23,1,MMBT2222A,
"R1, R11, R12, R6, R7, R8",0805,6,10k,
R10,0805,1,1K4,
R13,0805,1,470,
"R14, R4",0805,2,1K,
"R2, R3",0805,2,calc,
R9,0805,1,200K,
RN1,R_Array_Concave_4x0603,1,100,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,reset,
T1,ZMPT101B,1,2mA-2mA transformer,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32D,
U2,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS712xLCTR-30A,
U4,SOT-23-5,1,TLV75733PDBV,
