Designator,Mid X,Mid Y,Rotation,Layer
C1,137.287,-36.576,270.0,top
C2,139.7,-36.576,90.0,top
C3,134.874,-36.576,270.0,top
C4,148.844,-64.516,270.0,top
C5,170.815,-82.169,0.0,top
C6,167.567891,-37.236397,0.0,top
C7,134.62,-62.103,270.0,top
C8,142.113,-62.169,270.0,top
C9,160.086,-71.12,180.0,top
D1,168.402,-41.148,0.0,top
D2,141.721909,-72.136,180.0,top
D3,140.3096,-69.1388,180.0,top
D4,156.5125,-73.406,0.0,top
D5,152.8595,-73.406,180.0,top
J1,177.546,-65.532,180.0,top
J16,131.445,-45.466,0.0,top
J2,177.546,-45.212,180.0,top
J3,168.91,-65.024,180.0,top
J4,164.338,-106.292,0.0,top
J5,176.955,-106.29,0.0,top
J6,152.4,-101.092,180.0,top
J7,131.405926,-62.492909,180.0,top
J8,137.668,-101.077,180.0,top
J9,163.83,-51.562,180.0,top
K1,137.739,-84.594,270.0,top
Q1,163.835,-66.802,180.0,top
Q2,163.708,-58.928,180.0,top
Q3,131.76,-72.9465,180.0,top
R1,134.874,-40.64,90.0,top
R10,160.1235,-73.406,180.0,top
R11,165.232,-62.865,270.0,top
R12,162.819,-62.865,90.0,top
R13,136.2475,-68.58,0.0,top
R14,131.7225,-68.58,180.0,top
R2,157.7105,-67.056,0.0,top
R3,157.7105,-69.088,0.0,top
R4,156.4405,-71.12,180.0,top
R6,145.669,-60.96,0.0,top
R7,145.6925,-56.642,0.0,top
R8,145.669,-58.801,180.0,top
R9,164.592,-86.36,270.0,top
RN1,170.18,-46.736,270.0,top
SW1,138.557,-44.131,90.0,top
T1,154.559,-84.582,0.0,top
U1,151.106,-43.58,0.0,top
U2,153.67,-63.5,90.0,top
U3,170.815,-88.265,0.0,top
U4,138.431927,-62.105874,180.0,top
